NATIVE AMERICAN,BLACK,OTHER,HISPANIC,ASIAN,WHITE,Speed
1.7525387560747736,1.8470614109910388,1.8491220636664518,1.801191029841786,1.909893267797363,1.8871498125660315,30
1.529395204760564,1.6833222959899088,1.7059377858761327,1.651448986504971,1.7061003574884392,1.7114962786961676,31
1.4423838277709342,1.5293169544377412,1.5621627957275277,1.5002386204691085,1.5291696493293614,1.5442751291947494,32
1.3470736479666092,1.387858083096073,1.3838793176828532,1.351066717949402,1.3723271778363917,1.3615190731543327,33
1.3470736479666092,1.2471582009929376,1.251087843701041,1.2248123185782778,1.2086977540545896,1.1956968950220765,34
0.8362480242006185,0.9953940313057553,1.0090288453942955,1.022335404072627,0.8846729778865998,0.9138457428810889,35
0.43078291609245417,0.8579717442489599,0.8485769474903082,0.8833780621621071,0.6944994458099599,0.7492366472109891,36
0.43078291609245417,0.728508282119418,0.7363096456192272,0.7583599939218333,0.53752948021342,0.5855003287203735,37
0.43078291609245417,0.608267546010506,0.6209987991082327,0.6774949177808974,0.4334856204403408,0.4543134135026489,38
0.14310084364067324,0.394450047877486,0.4562988436640977,0.4978435895428219,0.17462398652405217,0.21373845234050382,39
-0.9555114450274369,0.1165651146706882,0.23751259771884378,0.24010859345899302,-0.18367565314168116,-0.09134977858822722,40
-0.9555114450274369,0.0093458624182365,0.15837527716012015,0.08837046003711851,-0.2863298072017642,-0.220907550789144,41
-0.9555114450274369,-0.13196767064834128,0.039856676924782716,-0.023705997586144608,-0.3906898225260065,-0.3566168027136794,42
-0.9555114450274369,-0.20223686649489742,-0.07214838145171197,-0.08483613799115275,-0.5650432096707836,-0.47858737293712594,43
-0.9555114450274369,-0.2840371842717751,-0.16523880451772377,-0.16225573697092321,-0.6783718949777863,-0.5804873624205061,44
0.0,-0.5545426063229665,-0.4027121813867583,-0.45097033403689346,-1.083837003085948,-0.8336216274183978,45
0.0,-0.6699442834802837,-0.4887867901580012,-0.52826200833854,-1.2116703745958322,-0.9191438008565598,46
0.0,-0.7298046714039629,-0.6466898196038098,-0.6071892669282107,-1.2581903902307245,-1.0296194171811566,47
0.0,-0.7763246870388559,-0.8665492957168294,-0.6669085016298333,-1.4993524470476103,-1.1252145378621776,48
0.0,-0.8395035886603875,-1.0455975271658147,-0.7469512093033697,-1.594662626851934,-1.2034302843072022,49
-0.9555114450274369,-1.0572270725052588,-1.451062635273978,-0.942695786429465,-1.7769841836458862,-1.4743052384426012,50
-0.9555114450274369,-1.1271856611121696,-1.480915598423659,-0.998265637584276,-1.951337570790661,-1.5673956615086129,51
-0.9555114450274369,-1.1466984753357514,-1.5434359554049928,-1.0647107369924287,-1.951337570790661,-1.6646589669338194,52
-0.9555114450274369,-1.2449686967685534,-1.7193266218686563,-1.1524163174115343,-1.951337570790661,-1.7256196667235064,53
-0.9555114450274369,-1.2951184804540252,-1.7193266218686563,-1.1863178690872156,-1.904817555155769,-1.7487420841443604,54
-0.9555114450274369,-1.741405583082447,-1.9329007221667145,-1.6224199466572702,-2.2232712862742976,-2.0946150950502775,55
-0.9555114450274369,-1.796465360265475,-1.9329007221667145,-1.7502533181671551,-2.2232712862742976,-2.1542071922525228,56
-0.9555114450274369,-1.906027562777002,-1.9816908863361462,-1.8127736751484893,-2.356802678898817,-2.2175768061851113,57
-0.9555114450274369,-1.99399633572296,-2.032984180723697,-1.8794650496471614,-2.356802678898817,-2.2852354546589257,58
-0.9555114450274369,-2.0654552997051057,-2.1442098158339205,-1.9325748749611102,-2.356802678898817,-2.3054381619764452,59
0.0,-2.2855171844819093,-2.3383658302748764,-2.111266663704486,-2.693274915520019,-2.4477543841566995,60
